23/11/2008,13:27:53,17.80,degrees C,,cara,units,alvin,units,albert,units,alvin,units,albert,units,cara,units,bob,units
23/11/2008,13:27:53,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:27:53,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:27:54,17.80,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:27:54,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:27:54,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:27:55,16.87,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:27:55,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:27:55,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:27:56,17.80,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:27:56,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:27:56,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:27:57,17.80,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:27:57,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:27:57,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:27:58,17.80,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:27:58,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:27:58,,,,,18.24,degrees C,,,,,,,,,,,
23/11/2008,13:27:59,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:27:59,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:27:59,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:0,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:0,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:0,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:1,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:1,,,19.47,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:1,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:2,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:2,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:2,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:3,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:3,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:3,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:4,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:4,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:4,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:5,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:5,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:5,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:6,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:6,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:6,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:7,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:7,,,19.53,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:7,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:8,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:8,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:8,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:9,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:9,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:9,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:10,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:10,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:10,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:11,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:11,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:11,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:12,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:12,,,,,,,18.37,degrees C,,,,,,,,,
23/11/2008,13:28:12,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:12,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:13,,,,,,,18.37,degrees C,,,,,,,,,
23/11/2008,13:28:13,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:13,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:13,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:14,,,,,,,18.37,degrees C,,,,,,,,,
23/11/2008,13:28:14,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:14,,,19.47,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:14,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:15,,,,,,,18.37,degrees C,,,,,,,,,
23/11/2008,13:28:15,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:15,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:15,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:16,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:16,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:16,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:16,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:17,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:17,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:17,,,19.53,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:17,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:18,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:18,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:18,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:18,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:19,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:19,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:19,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:19,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:20,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:20,,,,,17.24,degrees C,,,,,,,,,,,
23/11/2008,13:28:21,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:21,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:21,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:21,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:22,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:22,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:22,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:22,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:23,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:23,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:23,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:23,,,,,17.24,degrees C,,,,,,,,,,,
23/11/2008,13:28:24,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:24,,,,,,,18.37,degrees C,,,,,,,,,
23/11/2008,13:28:24,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:24,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:25,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:25,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:25,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:25,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:26,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:26,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:26,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:26,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:27,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:27,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:27,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:27,,,,,17.24,degrees C,,,,,,,,,,,
23/11/2008,13:28:28,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:28,,,,,,,18.30,degrees C,,,,,,,,,
23/11/2008,13:28:28,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:28,,,,,18.18,degrees C,,,,,,,,,,,
23/11/2008,13:28:29,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:29,,,,,,,18.37,degrees C,,,,,,,,,
23/11/2008,13:28:29,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:29,,,,,17.24,degrees C,,,,,,,,,,,
23/11/2008,13:28:30,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:30,,,,,,,18.37,degrees C,,,,,,,,,
23/11/2008,13:28:30,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:30,,,,,17.30,degrees C,,,,,,,,,,,
23/11/2008,13:28:31,,,18.56,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:31,,,,,,,18.95,degrees C,,,,,,,,,
23/11/2008,13:28:31,,,,,18.49,degrees C,,,,,,,,,,,
23/11/2008,13:28:31,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:32,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:32,,,,,,,19.8,degrees C,,,,,,,,,
23/11/2008,13:28:32,,,,,18.75,degrees C,,,,,,,,,,,
23/11/2008,13:28:32,18.64,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:33,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:33,,,,,,,20.20,degrees C,,,,,,,,,
23/11/2008,13:28:33,,,,,19.8,degrees C,,,,,,,,,,,
23/11/2008,13:28:33,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:34,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:34,,,,,,,20.33,degrees C,,,,,,,,,
23/11/2008,13:28:34,,,,,19.28,degrees C,,,,,,,,,,,
23/11/2008,13:28:35,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:35,,,19.53,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:35,,,,,,,20.33,degrees C,,,,,,,,,
23/11/2008,13:28:35,,,,,19.41,degrees C,,,,,,,,,,,
23/11/2008,13:28:36,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:36,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:36,,,,,,,20.33,degrees C,,,,,,,,,
23/11/2008,13:28:36,,,,,19.55,degrees C,,,,,,,,,,,
23/11/2008,13:28:37,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:37,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:37,,,,,,,20.26,degrees C,,,,,,,,,
23/11/2008,13:28:37,,,,,19.61,degrees C,,,,,,,,,,,
23/11/2008,13:28:38,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:38,,,18.62,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:38,,,,,,,20.26,degrees C,,,,,,,,,
23/11/2008,13:28:38,,,,,19.75,degrees C,,,,,,,,,,,
23/11/2008,13:28:39,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:39,,,18.69,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:39,,,,,19.75,degrees C,,,,,,,,,,,
23/11/2008,13:28:39,,,,,,,20.33,degrees C,,,,,,,,,
23/11/2008,13:28:40,16.81,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:40,,,18.69,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:40,,,,,19.48,degrees C,,,,,,,,,,,
23/11/2008,13:28:40,,,,,,,20.13,degrees C,,,,,,,,,
23/11/2008,13:28:41,17.74,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:41,,,19.60,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:41,,,,,19.21,degrees C,,,,,,,,,,,
23/11/2008,13:28:41,,,,,,,20.6,degrees C,,,,,,,,,
23/11/2008,13:28:42,18.18,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:42,,,18.82,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:42,,,,,19.8,degrees C,,,,,,,,,,,
23/11/2008,13:28:42,,,,,,,18.95,degrees C,,,,,,,,,
23/11/2008,13:28:43,18.56,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:43,,,18.82,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:43,,,,,19.1,degrees C,,,,,,,,,,,
23/11/2008,13:28:44,,,,,,,19.93,degrees C,,,,,,,,,
23/11/2008,13:28:44,18.82,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:44,,,19.73,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:44,,,,,18.95,degrees C,,,,,,,,,,,
23/11/2008,13:28:45,,,,,,,18.88,degrees C,,,,,,,,,
23/11/2008,13:28:45,19.1,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:45,,,18.82,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:45,,,,,18.88,degrees C,,,,,,,,,,,
23/11/2008,13:28:46,,,,,,,18.95,degrees C,,,,,,,,,
23/11/2008,13:28:46,20.6,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:46,,,19.80,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:46,,,,,18.88,degrees C,,,,,,,,,,,
23/11/2008,13:28:47,,,,,,,18.82,degrees C,,,,,,,,,
23/11/2008,13:28:47,20.20,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:47,,,18.88,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:47,,,,,18.82,degrees C,,,,,,,,,,,
23/11/2008,13:28:48,,,,,,,18.82,degrees C,,,,,,,,,
23/11/2008,13:28:48,19.8,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:48,,,18.95,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:48,,,,,18.82,degrees C,,,,,,,,,,,
23/11/2008,13:28:49,,,,,,,18.82,degrees C,,,,,,,,,
23/11/2008,13:28:49,18.88,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:49,,,19.86,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:49,,,,,18.82,degrees C,,,,,,,,,,,
23/11/2008,13:28:50,,,,,,,18.82,degrees C,,,,,,,,,
23/11/2008,13:28:50,18.82,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:50,,,19.86,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:50,,,,,18.82,degrees C,,,,,,,,,,,
23/11/2008,13:28:51,,,,,,,19.73,degrees C,,,,,,,,,
23/11/2008,13:28:51,18.75,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:51,,,19.86,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:51,,,,,18.75,degrees C,,,,,,,,,,,
23/11/2008,13:28:52,,,,,,,18.82,degrees C,,,,,,,,,
23/11/2008,13:28:52,18.75,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:52,,,19.93,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:52,,,,,18.75,degrees C,,,,,,,,,,,
23/11/2008,13:28:53,,,,,,,18.82,degrees C,,,,,,,,,
23/11/2008,13:28:53,18.69,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:53,,,19.93,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:53,,,,,18.75,degrees C,,,,,,,,,,,
23/11/2008,13:28:54,,,,,,,18.88,degrees C,,,,,,,,,
23/11/2008,13:28:54,18.69,degrees C,,,,,,,,,,,,,,,
23/11/2008,13:28:54,,,,,18.75,degrees C,,,,,,,,,,,
23/11/2008,13:28:54,,,19.93,degrees C,,,,,,,,,,,,,
23/11/2008,13:28:55,,,,,,,19.73,degrees C,,,,,,,,,
23/11/2008,14:9:10,17.12,degrees C,,,,,,,
23/11/2008,14:9:11,17.12,degrees C,,,,,,,
23/11/2008,14:9:12,17.12,degrees C,,,,,,,
23/11/2008,14:9:13,17.12,degrees C,,,,,,,
23/11/2008,14:9:14,17.12,degrees C,,,,,,,
23/11/2008,14:9:15,17.12,degrees C,,,,,,,
23/11/2008,14:9:16,17.12,degrees C,,,,,,,
23/11/2008,14:9:17,17.12,degrees C,,,,,,,
23/11/2008,14:9:18,17.12,degrees C,,,,,,,
23/11/2008,14:9:19,17.12,degrees C,,,,,,,
23/11/2008,14:9:20,17.12,degrees C,,,,,,,
23/11/2008,14:9:21,,,18.11,degrees C,,,,,
23/11/2008,14:9:21,,,,,17.56,degrees C,,,
23/11/2008,14:9:21,17.12,degrees C,,,,,,,
23/11/2008,14:9:22,17.12,degrees C,,,,,,,
23/11/2008,14:9:23,,,18.11,degrees C,,,,,
23/11/2008,14:9:23,,,,,16.63,degrees C,,,
23/11/2008,14:9:23,17.12,degrees C,,,,,,,
23/11/2008,14:9:24,,,18.11,degrees C,,,,,
23/11/2008,14:9:24,,,,,,,16.45,degrees C,
23/11/2008,14:9:24,17.12,degrees C,,,,,,,
23/11/2008,14:9:25,,,18.11,degrees C,,,,,
23/11/2008,14:9:25,,,,,,,16.51,degrees C,
23/11/2008,14:9:25,18.5,degrees C,,,,,,,
23/11/2008,14:9:26,,,18.11,degrees C,,,,,
23/11/2008,14:9:26,,,,,,,16.57,degrees C,
23/11/2008,14:9:26,17.12,degrees C,,,,,,,
23/11/2008,14:9:27,,,18.11,degrees C,,,,,
23/11/2008,14:9:27,,,,,,,16.63,degrees C,
23/11/2008,14:9:27,17.12,degrees C,,,,,,,
23/11/2008,14:9:28,,,18.11,degrees C,,,,,
23/11/2008,14:9:28,,,,,,,16.63,degrees C,
23/11/2008,14:9:28,17.12,degrees C,,,,,,,
23/11/2008,14:9:29,,,18.18,degrees C,,,,,
23/11/2008,14:9:29,,,,,17.56,degrees C,,,
23/11/2008,14:9:29,17.12,degrees C,,,,,,,
23/11/2008,14:9:30,,,18.5,degrees C,,,,,
23/11/2008,14:9:30,,,,,,,16.51,degrees C,
23/11/2008,14:9:30,17.12,degrees C,,,,,,,
23/11/2008,14:9:31,,,18.11,degrees C,,,,,
23/11/2008,14:9:31,,,,,,,17.50,degrees C,
23/11/2008,14:9:31,17.12,degrees C,,,,,,,
23/11/2008,14:9:31,,,,,17.56,degrees C,,,
23/11/2008,14:9:32,,,18.11,degrees C,,,,,
23/11/2008,14:9:32,,,,,,,17.44,degrees C,
23/11/2008,14:9:32,17.12,degrees C,,,,,,,
23/11/2008,14:9:32,,,,,17.56,degrees C,,,
23/11/2008,14:9:33,,,18.11,degrees C,,,,,
23/11/2008,14:9:33,,,,,,,17.44,degrees C,
23/11/2008,14:9:33,17.12,degrees C,,,,,,,
23/11/2008,14:9:33,,,,,17.56,degrees C,,,
23/11/2008,14:9:34,,,18.11,degrees C,,,,,
23/11/2008,14:9:34,,,,,,,17.44,degrees C,
23/11/2008,14:9:34,17.12,degrees C,,,,,,,
23/11/2008,14:9:34,,,,,17.56,degrees C,,,
23/11/2008,14:9:35,,,18.5,degrees C,,,,,
23/11/2008,14:9:35,,,,,,,17.50,degrees C,
23/11/2008,14:9:35,17.12,degrees C,,,,,,,
23/11/2008,14:9:35,,,,,17.56,degrees C,,,
23/11/2008,14:9:36,,,18.11,degrees C,,,,,
23/11/2008,14:9:36,,,,,,,17.50,degrees C,
23/11/2008,14:9:36,17.12,degrees C,,,,,,,
23/11/2008,14:9:36,,,,,17.56,degrees C,,,
23/11/2008,14:9:37,,,18.11,degrees C,,,,,
23/11/2008,14:9:37,,,,,,,16.57,degrees C,
23/11/2008,14:9:37,18.5,degrees C,,,,,,,
23/11/2008,14:9:37,,,,,17.56,degrees C,,,
23/11/2008,14:9:38,,,18.11,degrees C,,,,,
23/11/2008,14:9:38,,,,,,,16.51,degrees C,
23/11/2008,14:9:38,17.12,degrees C,,,,,,,
23/11/2008,14:9:38,,,,,17.56,degrees C,,,
23/11/2008,14:9:39,,,18.11,degrees C,,,,,
23/11/2008,14:9:39,,,,,,,17.50,degrees C,
23/11/2008,14:9:39,17.12,degrees C,,,,,,,
23/11/2008,14:9:39,,,,,17.56,degrees C,,,
